# Comment census at dffbcd0 — the opening measurement of the comment pass.
#
# Produced by `weld_lint census`, whose figures were confronted with an
# independently written probe and agree on every quantity: 330 files, 127176
# code lines, 50970 comment lines, 29925 doc lines, 13096 blocks.
#
# Columns, tab-separated:
#   code  comment  doc  blocks  density  path
#
# A line is a COMMENT line when its first non-whitespace bytes are `//`, a CODE
# line when it is non-blank and not a comment line; blank lines are in neither,
# and `density` is comment / (comment + code) in percent. A BLOCK is a maximal
# run of consecutive comment lines — the unit of judgement.
#
# This file is the `before` half of the per-file report. Nothing in it is a
# threshold, a target or a gate.
107	21	21	7	16.41	src/modules/render/gal/vulkan/buffer.zig
326	62	26	17	15.98	src/modules/render/gal/vulkan/pipeline.zig
9	13	13	3	59.09	src/modules/render/gal/vulkan/sampler.zig
35	14	14	7	28.57	src/modules/render/gal/vulkan/sync.zig
522	161	64	45	23.57	src/modules/render/gal/vulkan/device.zig
195	55	53	14	22.00	src/modules/render/gal/vulkan/texture.zig
331	117	85	21	26.12	src/modules/render/gal/vulkan/command_encoder.zig
430	156	135	84	26.62	src/modules/render/gal/types.zig
74	51	51	4	40.80	src/modules/render/gal/capture.zig
55	67	63	29	54.92	src/modules/render/gal/root.zig
243	62	55	25	20.33	src/modules/render/gal/barriers.zig
39	40	33	16	50.63	src/modules/render/root.zig
135	19	19	8	12.34	src/modules/render/shader_pipeline/cache.zig
108	41	34	13	27.52	src/modules/render/shader_pipeline/compiler.zig
127	32	28	15	20.13	src/modules/render/shader_pipeline/hot_reload.zig
88	41	37	16	31.78	src/modules/audio/dummy.zig
12	22	21	10	64.71	src/modules/audio/root.zig
190	415	205	46	68.60	src/modules/forge/sync_in.zig
43	49	46	12	53.26	src/modules/forge/sensor_events.zig
4	61	61	4	93.85	src/modules/forge/api/authority.zig
103	171	169	40	62.41	src/modules/forge/api/joint.zig
357	703	529	172	66.32	src/modules/forge/api/types.zig
48	68	62	47	58.62	src/modules/forge/api/root.zig
65	117	100	22	64.29	src/modules/forge/api/precision.zig
134	168	93	45	55.63	src/modules/forge/api/components.zig
207	191	132	40	47.99	src/modules/forge/forge_3d/pipeline/sensor.zig
52	63	56	11	54.78	src/modules/forge/forge_3d/pipeline/island.zig
77	180	135	17	70.04	src/modules/forge/forge_3d/pipeline/sleep.zig
707	722	614	124	50.52	src/modules/forge/forge_3d/pipeline/broadphase.zig
74	144	116	13	66.06	src/modules/forge/forge_3d/pipeline/integration.zig
376	215	145	50	36.38	src/modules/forge/forge_3d/pipeline/narrowphase/fast_paths.zig
177	247	142	39	58.25	src/modules/forge/forge_3d/pipeline/narrowphase/raycast.zig
136	218	119	31	61.58	src/modules/forge/forge_3d/pipeline/narrowphase/triangle.zig
115	286	269	25	71.32	src/modules/forge/forge_3d/pipeline/narrowphase/plane.zig
612	268	167	74	30.45	src/modules/forge/forge_3d/pipeline/narrowphase/epa.zig
249	209	164	56	45.63	src/modules/forge/forge_3d/pipeline/narrowphase/support.zig
316	315	194	56	49.92	src/modules/forge/forge_3d/pipeline/narrowphase/gjk.zig
622	340	253	73	35.34	src/modules/forge/forge_3d/pipeline/narrowphase/manifold.zig
61	96	84	52	61.15	src/modules/forge/forge_3d/pipeline/narrowphase/root.zig
